name	x	y	z	size	group	type
AF3	-40.539681	124.644079	2.672089	n/a		n/a
F7	-74.415605	80.460680	-25.438300	n/a		n/a
F3	-55.772240	97.188691	27.527032	n/a		n/a
FC5	-77.859574	56.374315	7.977404	n/a		n/a
T7	-78.197012	33.134826	-18.403259	n/a		n/a
P7	-69.705801	-25.608150	-25.726418	n/a		n/a
O1	-29.617868	-70.380172	-30.680246	n/a		n/a
O2	32.986108	-70.323796	-35.630921	n/a		n/a
P8	75.178788	-26.521098	-34.145419	n/a		n/a
T8	84.303372	28.366297	-23.231905	n/a		n/a
FC6	85.128015	57.981524	-0.372212	n/a		n/a
F4	64.282996	99.194103	21.777665	n/a		n/a
F8	74.904707	80.663327	-32.717763	n/a		n/a
AF4	45.512615	126.082933	-1.778343	n/a		n/a
